state,chamber,name,party_abb,twitter_handle,instagram_handle,Instagram_URL,List
Texas 20th District,U.S. Representative,"Castro, Joaquin",D,JoaquinCastrotx,joaquincastrotx,https://www.instagram.com/joaquincastrotx,congress2022
Texas 21st District,U.S. Representative,"Roy, Chip",R,RepChipRoy,chiproytx,https://www.instagram.com/chiproytx,congress2022
Texas 22nd District,U.S. Representative,"Nehls, Troy",R,SheriffTNehls,,,
Texas 23rd District,U.S. Representative,"Gonzales, Tony",R,TonyGonzales4TX,TonyGonzalesForCongress,https://www.instagram.com/TonyGonzalesForCongress,congress2022
Texas 24th District,U.S. Representative,"Van Duyne, Beth",R,Bethvanduyne,bethvanduynetx,https://www.instagram.com/bethvanduynetx,congress2022
Texas 25th District,U.S. Representative,"Williams, Roger",R,RepRWilliams,,,
Texas 26th District,U.S. Representative,"Burgess, Michael",R,michaelcburgess,repmichaelburgess,https://www.instagram.com/repmichaelburgess,congress2022
Texas 27th District,U.S. Representative,"Cloud, Michael",R,RepCloudTX,michaeljcloud,https://www.instagram.com/michaeljcloud,congress2022
Texas 28th District,U.S. Representative,"Cuellar, Henry",D,RepCuellar,repcuellar,https://www.instagram.com/repcuellar,congress2022
Texas 29th District,U.S. Representative,"Garcia, Sylvia",D,RepSylviaGarcia,repsylviagarcia,https://www.instagram.com/repsylviagarcia,congress2022
Texas 30th District,U.S. Representative,"Johnson, Eddie Bernice",D,RepEBJ,repebj,https://www.instagram.com/repebj,congress2022
Texas 31st District,U.S. Representative,"Carter, John",R,JudgeCarter,judgecarter,https://www.instagram.com/judgecarter,congress2022
Texas 32nd District,U.S. Representative,"Allred, Colin",D,RepColinAllred,repcolinallred,https://www.instagram.com/repcolinallred,congress2022
Texas 33rd District,U.S. Representative,"Veasey, Marc",D,RepVeasey,repveasey,https://www.instagram.com/repveasey,congress2022
Texas 34th District,U.S. Representative,"Vela, Filemon",D,RepFilemonVela,repfilemonvela,https://www.instagram.com/repfilemonvela,congress2022
Texas 35th District,U.S. Representative,"Doggett, Lloyd",D,RepLloydDoggett,replloyddoggett,https://www.instagram.com/replloyddoggett,congress2022
Texas 36th District,U.S. Representative,"Babin, Brian",R,RepBrianBabin,,,
Utah,U.S. Senator,"Lee, Mike",R,SenMikeLee,senmikelee,https://www.instagram.com/senmikelee,congress2022
Utah,U.S. Senator,"Romney, Mitt",R,SenatorRomney,mittromney,https://www.instagram.com/mittromney,congress2022
Utah 1st District,U.S. Representative,"Moore, Blake",R,RepBlakeMoore,,,
